名称,别名,类型,年份,难度,算法标签
石子合并,,传统,1995,普及+/提高,动态规划DP/区间DP/四边形不等式
积木游戏,,传统,1997,普及+/提高,暂无
竞赛排名,,传统,1997,普及/提高-,暂无
卫星覆盖,,传统,1997,提高+/省选-,暂无
文件匹配,,传统,1997,提高+/省选-,字符串/搜索
最佳游览,,传统,1997,普及/提高-,暂无
最优乘车,,传统,1997,普及/提高-,图论/最短路
SERNET模拟,,传统,1998,提高+/省选-,暂无
并行计算,,传统,1998,暂无评定,暂无
个人所得税,,传统,1998,普及-,暂无
免费的馅饼,,传统,1998,提高+/省选-,动态规划DP/线段树/树状数组
围巾裁剪,,传统,1998,提高+/省选-,模拟/动态规划DP
01串,,传统,1999,普及+/提高,差分约束/前缀和
钉子和小球,,传统,1999,提高+/省选-,暂无
内存分配,,传统,1999,普及+/提高,模拟/线段树/二分/平衡树
棋盘分割,,传统,1999,普及+/提高,动态规划DP/记忆化搜索/区间DP
生日蛋糕,,传统,1999,普及+/提高,搜索/剪枝
最优联通子集,,传统,1999,普及/提高-,暂无
程序分析器,,传统,2000,普及+/提高,暂无
瓷片项链,,传统,2000,普及-,暂无
单词查找树,,传统,2000,普及/提高-,字典树Trie
古城之谜,,传统,2000,省选/NOI-,暂无
青蛙过河,,传统,2000,普及-,动态规划DP/递推
算符破译,,传统,2000,NOI/NOI+/CTSC,暂无
聪明的打字员,,传统,2001,普及+/提高,搜索/广度优先搜索BFS/剪枝/哈希hashing
反正切函数的应用,,传统,2001,普及/提高-,数学
方程的解数,,传统,2001,普及+/提高,数学/双指针two-pointer/折半搜索meetinthemiddle
炮兵阵地,,传统,2001,提高+/省选-,进制/状压DP
食物链,,传统,2001,普及+/提高,并查集
陨石的秘密,,传统,2001,提高+/省选-,动态规划DP
荒岛野人,,传统,2002,提高+/省选-,扩展欧几里德算法
机器人M号,,传统,2002,普及+/提高,动态规划DP/数学/欧拉函数
贪吃的九头龙,,传统,2002,提高+/省选-,动态规划DP/树形DP
银河英雄传说,,传统,2002,普及+/提高,并查集
木棒游戏,,传统,2003,提高+/省选-,暂无
逃学的小孩,数据生成器,传统,2003,提高+/省选-,贪心/枚举/树的直径
文本编辑器,,传统,2003,省选/NOI-,字符串/平衡树/递归/分块
智破连环阵,,传统,2003,NOI/NOI+/CTSC,搜索/剪枝
降雨量,,传统,2004,提高+/省选-,计算几何
曼哈顿,,传统,2004,省选/NOI-,暂无
沙丘,,交互,2004,省选/NOI-,暂无
小H的小屋,,传统,2004,省选/NOI-,动态规划DP/贪心/模拟退火
郁闷的出纳员,,传统,2004,提高+/省选-,线段树/二分/平衡树/树状数组
聪聪与可可,,传统,2005,提高+/省选-,搜索/广度优先搜索BFS/深度优先搜索DFS/记忆化搜索/期望
瑰丽华尔兹,,传统,2005,提高+/省选-,动态规划DP/单调队列/队列
维护数列,,传统,2005,省选/NOI-,平衡树
月下柠檬树,,传统,2005,NOI/NOI+/CTSC,计算几何/递归/积分
智慧珠游戏,,传统,2005,省选/NOI-,搜索/枚举/剪枝/DancingLinks
聪明的导游,,传统,2006,NOI/NOI+/CTSC,暂无
千年虫,,传统,2006,NOI/NOI+/CTSC,动态规划DP/贪心/枚举
神奇口袋,,传统,2006,省选/NOI-,高精度/排序
网络收费,,传统,2006,NOI/NOI+/CTSC,最近公共祖先LCA/状压DP
最大获利,,传统,2006,省选/NOI-,网络流/广度优先搜索BFS/深度优先搜索DFS/最小割
货币兑换,,传统,2007,省选/NOI-,动态规划DP/平衡树/离散化/cdq分治/分治/动态规划优化/斜率优化/凸包/李超线段树
社交网络,,传统,2007,普及+/提高,图论/最短路/Floyd算法
生成树计数,,传统,2007,省选/NOI-,动态规划DP/矩阵加速/状压DP
调兵遣将,,传统,2007,NOI/NOI+/CTSC,暂无
项链工厂,,传统,2007,省选/NOI-,线段树
追捕盗贼,,传统,2007,NOI/NOI+/CTSC,暂无
奥运物流,,传统,2008,NOI/NOI+/CTSC,暂无
假面舞会,,传统,2008,提高+/省选-,图论/深度优先搜索DFS/最大公约数gcd
赛程安排,,传统,2008,NOI/NOI+/CTSC,暂无
设计路线,,传统,2008,提高+/省选-,暂无
糖果雨,,传统,2008,省选/NOI-,暂无
志愿者招募,,传统,2008,省选/NOI-,网络流/图论建模/上下界网络流/费用流/线性规划
变换序列,,传统,2009,省选/NOI-,二分图
二叉查找树,,传统,2009,省选/NOI-,动态规划DP/区间DP
管道取珠,,传统,2009,提高+/省选-,动态规划DP/递推
描边,,传统,2009,NOI/NOI+/CTSC,计算几何/高精度/二分图
诗人小G,,传统,2009,省选/NOI-,动态规划DP/贪心/四边形不等式/栈/决策单调性
